search_id,timestamp,site_id,user_country_id,user_hist_stars,user_hist_paid,listing_country_id,listing_id,listing_stars,listing_review_score,is_brand,location_score1,location_score2,log_historical_price,listing_position,price_usd,has_promotion,destination_id,length_of_stay,booking_window,num_adults,num_kids,num_rooms,stay_on_saturday,log_click_proportion,distance_to_dest,random_sort,competitor1_rate,competitor1_has_availability,competitor1_price_percent_diff,competitor2_rate,competitor2_has_availability,competitor2_price_percent_diff,competitor3_rate,competitor3_has_availability,competitor3_price_percent_diff,competitor4_rate,competitor4_has_availability,competitor4_price_percent_diff,competitor5_rate,competitor5_has_availability,competitor5_price_percent_diff,competitor6_rate,competitor6_has_availability,competitor6_price_percent_diff,competitor7_rate,competitor7_has_availability,competitor7_price_percent_diff,competitor8_rate,competitor8_has_availability,competitor8_price_percent_diff,clicked,booking_value,booked
454158,18/05/2013 18:09,5,219,,,219,115350,4,4.5,1,0.69,0.0677,5.15,6,159,0,9179,2,6,2,2,1,1,,,0,,,,0,0,,0,0,17,,,,1,0,34,,,,,,,0,0,,1,,0
514028,25/11/2012 07:53,5,219,,,219,80034,3,4,1,3.91,0.0502,5.51,13,132,1,8347,3,145,2,0,1,1,,1135.71,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
320521,07/11/2012 12:10,14,100,,,100,28174,2,3,1,0,0.0004,4.75,30,105.35,0,26120,1,1,3,2,3,1,,75.34,0,,,,,,,,,,,,,-1,0,24,,,,,,,-1,0,24,0,,0
273887,11/01/2013 18:35,15,55,,,55,77568,3,3,0,0.69,,4.6,10,98.42,0,15867,2,22,2,0,1,1,,,1,,,,,,,,,,,,,1,0,18,,,,,,,,,,0,,0
89499,14/03/2013 17:53,5,219,,,219,99741,3,4.5,1,1.79,,5.25,18,170,0,8551,2,34,2,0,1,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
380064,21/04/2013 21:46,5,219,,,219,37346,4,4,0,5.77,0.2773,5.81,16,224,1,24700,6,85,2,0,1,0,,1170.51,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
288920,05/04/2013 07:18,24,216,,,219,8917,2,4,0,1.95,0.0076,4.87,9,103.94,1,26928,2,14,2,0,1,1,,,0,,,,0,0,,0,0,,,,,0,0,,,,,,,,0,0,,1,237.55,1
261257,19/06/2013 08:40,5,219,,,219,89106,3,3.5,1,2.4,,0,20,97,0,8745,4,4,1,0,1,0,,539.1,0,,,,0,0,,0,0,,,,,,,,,,,,,,0,0,,0,,0
472553,20/03/2013 14:41,5,219,,,219,90730,4,4,0,5.66,0.107,5.91,12,179,1,4562,2,1,2,0,1,1,,231.93,0,,,,0,0,,0,0,9,0,0,,0,0,5,,,,,,,-1,0,7,0,,0
102840,14/11/2012 17:14,5,219,,,31,31949,4,3.5,0,2.64,0.0001,4.68,13,115,0,15620,3,1,2,0,1,1,,6387.72,0,,,,,,,,,,,,,0,0,10,0,0,,,,,,,,0,,0
527703,13/02/2013 20:06,5,219,,,219,87444,3,3,1,1.1,0.0021,4.28,21,75,0,1986,1,1,2,0,1,1,,7.03,0,,,,0,0,,,,,,,,,,,,,,,,,-1,0,6,0,,0
121634,13/05/2013 08:47,5,219,,,53,8843,3,0,0,0,,4.7,3,72,0,13249,4,61,2,0,1,1,,9266.02,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
23283,14/06/2013 13:15,5,219,,,219,80693,2,2.5,1,0,,0,11,80,0,20304,1,14,1,0,1,1,,864.18,0,,,,,,,,,,,,,,,,,,,,,,,,,1,,0
395171,14/03/2013 20:36,5,219,,,219,9188,2,2.5,1,2.64,0.0153,4.47,20,59,0,6443,1,1,2,0,1,1,,343.94,0,,,,0,0,,0,0,,,,,-1,0,13,,,,,,,0,0,13,0,,0
374137,28/11/2012 19:44,5,219,,,219,76057,3,4.5,0,1.1,,5.2,25,236,0,18319,4,42,2,0,1,0,,1175.41,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
340728,23/11/2012 03:18,24,172,,,102,88581,3,4,0,2.3,0.0321,4.42,20,74.53,0,23929,1,30,1,0,1,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
149733,03/04/2013 03:48,5,219,,,219,53062,3,4,1,2.89,0.0139,5.33,9,192,0,7971,2,40,2,1,1,0,-11.7062,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
342315,06/11/2012 16:20,14,100,,,35,77442,4,5,0,3.33,0.3604,5.96,2,219.74,0,4255,4,28,2,0,1,0,,3440.77,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
36914,17/02/2013 09:33,14,100,,,219,70587,3,4.5,1,1.39,,4.74,21,109.3,0,19302,1,13,2,1,1,1,,359.41,0,,,,0,0,,0,0,,,,,,,,,,,,,,0,0,,0,,0
194312,26/06/2013 10:16,5,219,,,219,92586,2,3,1,1.95,0.0123,0,30,106,0,10948,2,31,1,0,1,1,,92.61,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
247804,02/04/2013 11:27,5,219,,,219,75350,2,3.5,1,1.61,,4.19,21,42,1,8141,1,4,2,0,1,1,-20.641,9.8,0,,,,0,0,,1,0,11,,,,,,,,,,,,,0,0,,0,,0
426857,03/05/2013 11:24,19,158,,,219,17633,4,4,1,5.86,0.1356,5.95,7,409.9,0,5143,4,18,5,0,2,0,,7794.5,0,,1,,0,0,,0,0,,,,,,1,,,,,,,,0,0,,1,4031.42,1
308407,24/02/2013 18:49,5,219,,,219,8687,2,3.5,1,0.69,,4.14,27,47,0,10703,1,69,2,0,1,1,-42.8403,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
70214,16/04/2013 19:36,14,219,,,100,107982,4,4.5,0,4.67,0.0257,5.53,26,175.37,0,2142,1,8,2,0,1,0,,334.6,0,,,,0,0,9,,,,,,,0,0,9,,,,,,,0,0,10,0,,0
253137,01/03/2013 20:49,5,219,,,219,90377,3,4,0,3.5,0.0777,5.08,15,62,1,26067,2,17,2,0,1,0,,219.46,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
500510,14/02/2013 11:54,29,99,,,55,77845,4,4,1,2.56,0.0012,5.2,22,105.56,1,10979,3,106,2,0,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
305095,12/05/2013 09:22,18,129,,,215,54563,4,4,0,1.95,0.0059,5.19,3,113.02,0,5538,1,12,2,1,1,1,,1216.66,0,,,,,,,,,,,,,0,0,,0,0,,0,0,,,,,0,,0
489013,21/12/2012 09:40,5,219,,,219,102049,3,4.5,1,1.95,0.0249,5.66,24,152,0,23676,1,5,2,0,1,0,,,0,,,,,,,-1,0,6,,,,,,,,,,,,,-1,0,6,0,,0
32081,15/01/2013 18:39,1,13,,,181,63063,4,4,0,4.49,0.1583,5.56,14,203.28,1,12907,1,0,1,0,1,0,,,0,1,0,6498,,,,,,,,,,0,0,,,,,1,0,16,,,,0,,0
442968,01/12/2012 20:10,5,219,,,219,103295,3,4.5,0,1.1,0.0359,4.45,2,61,1,15056,1,25,2,0,1,0,,404.09,0,,,,1,0,3,,,,,,,1,0,14,,,,,,,0,0,,0,,0
389366,22/05/2013 11:19,5,219,,,219,77294,3,4.5,0,3.64,0.0562,4.85,25,89,0,20551,1,1,2,0,1,1,,145.73,1,,,,,,,0,0,,,,,,,,,,,,,,0,0,,0,,0
519079,04/06/2013 13:41,14,100,,,100,45462,4,4,1,3.97,,0,9,202.09,0,20588,2,1,1,0,1,0,,,0,,,,,,,,,,,,,0,0,,,,,,,,,,,0,,0
211845,06/02/2013 11:03,16,55,,,55,79170,4,3,0,2.77,0.0159,4.31,8,54.1,0,5577,4,1,1,0,1,1,,,0,,,,,,,,,,,,,0,0,,0,0,,0,0,,,,,0,,0
127541,19/04/2013 08:54,5,219,,,219,25796,2,4,1,1.39,,4.2,21,55,0,24078,1,3,2,0,1,0,,812,0,,,,0,0,,,,,,,,,,,,,,,,,,,,0,,0
326331,27/12/2012 10:35,5,219,,,219,83430,4,4.5,0,2.77,0.0362,6.13,4,285,1,12588,4,11,1,0,1,0,,16.62,0,,,,0,0,14,0,1,14,,,,0,0,14,,,,,,,0,0,14,0,,0
523751,03/01/2013 13:10,15,55,,,55,51693,3,4.5,1,0,,4.73,15,141.75,0,27983,3,0,2,0,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
20459,18/03/2013 17:58,5,219,,,219,38433,3,4.5,1,1.39,0.1783,5.1,6,149,0,28244,1,54,1,0,1,1,,1113.13,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
452958,15/01/2013 11:32,5,219,,,219,125083,4,4.5,1,3.61,0.0696,5.07,34,89,1,8192,5,33,2,0,1,0,,216.5,0,,,,,,,0,0,,,,,0,0,,,,,,,,0,0,,0,,0
215138,23/05/2013 09:17,5,219,,,219,72066,2,4,1,1.61,,4.23,14,59,0,20185,1,10,2,2,1,0,,1.55,0,,,,0,0,,,,,,,,1,0,17,,,,,,,0,0,,0,,0
402658,20/11/2012 12:29,5,219,,,219,128442,2,5,0,2.08,0.0361,4.23,16,50,1,2256,1,4,1,0,1,1,,556.77,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
188483,31/05/2013 21:00,5,219,,,219,37088,4,4.5,1,2.71,,5.39,12,115,0,9220,1,7,1,2,1,1,,1196.16,0,,,,0,0,25,-1,0,12,,,,0,0,,,,,,,,0,0,14,0,,0
451735,07/02/2013 21:40,5,5,,,55,135777,3,4.5,1,3.33,0.0027,4.87,33,113,0,24752,3,57,2,0,1,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
293661,14/05/2013 10:47,5,219,,,219,100226,3,3.5,0,4.03,0.1181,4.8,21,115,0,3694,7,103,2,0,1,0,,435.77,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
567223,24/01/2013 09:49,5,129,,,129,35130,2,4,0,1.61,0.0002,4.56,29,105,0,21708,1,70,2,0,1,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
18969,13/06/2013 07:47,5,219,,,219,120238,4,4,1,2.2,,0,25,161,0,7624,2,183,2,0,1,1,,186.45,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
275894,12/11/2012 06:44,5,219,,,219,81818,4,4,1,4.37,0.1069,5.86,13,450,0,27730,3,41,3,1,1,0,,1339.01,0,,,,1,0,87,,,,,,,,,,,,,,,,,,,0,,0
537730,29/03/2013 21:50,5,32,,,99,28903,0,3,0,2.08,0.0085,4.7,16,70,0,11783,1,0,2,0,1,1,,131.04,1,,,,,,,,,,,,,,-1,,0,0,,,,,,,,0,,0
127312,22/01/2013 13:50,5,32,,,219,11664,4,4,1,2.3,,5.52,28,387,0,9345,3,59,4,0,1,1,-27.2847,4882.37,0,,,,1,0,5,,,,,,,1,0,5,,,,,,,1,0,5,0,,0
123114,10/02/2013 06:42,14,100,,,219,87059,3,4,1,2.08,0.0856,5.01,33,128.74,0,14299,1,26,2,0,1,1,,162.6,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
393044,19/01/2013 05:49,14,219,,,219,42726,3,4,1,0.69,0.0157,4.76,1,74.62,1,15353,1,0,2,0,2,1,,14.02,0,,,,1,0,33,1,0,33,,,,,,,,,,,,,1,0,33,0,,0
129079,10/03/2013 16:54,5,9,3.63,254.89,117,115607,0,0,0,1.1,,5.03,7,131,0,8920,4,70,1,0,1,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
104393,05/05/2013 23:54,5,219,,,219,798,3,4,1,2.94,0.1964,5.25,1,139,0,22017,1,6,3,0,1,1,,2394.92,0,,,,,,,0,0,,,,,,,,,,,,,,0,0,,0,,0
170731,12/06/2013 13:58,5,219,,,219,19222,3,4.5,1,1.61,0.0111,0,28,113,0,23452,3,8,2,0,1,1,,2146.89,0,,,,0,0,,0,0,,,,,,,,,,,,,,0,0,,0,,0
75696,29/12/2012 18:53,5,219,,,219,78448,3,4.5,1,1.39,0.0291,4.6,25,84,1,18495,2,1,4,1,1,0,,648.69,0,,,,0,0,,,,,,,,,,,,,,,,,0,0,,0,,0
183738,23/05/2013 12:07,18,129,,,55,31570,4,4,0,4.94,0.0152,5.43,32,186.26,0,10979,3,20,1,0,1,0,,449.97,0,,,,,,,,,,,,,0,0,,,,,-1,0,9,,,,0,,0
297368,08/02/2013 15:02,5,2,,,219,16706,3,4,1,1.39,0.0053,4.96,36,169,0,23246,1,20,2,0,1,1,,,0,,,,,,,0,0,,,,,0,0,,,,,,,,0,0,,0,,0
564360,09/05/2013 21:42,16,31,,,16,9857,5,4,0,2.08,0.043,5.8,12,203.47,0,26087,4,7,2,0,1,1,,1228.58,0,,,,,,,,,,,,,1,0,6,1,0,17,1,0,18,,,,0,,0
489193,29/05/2013 13:22,24,216,,,117,95877,5,0,1,0,,5.35,9,84.93,0,1588,5,60,1,1,1,0,,,1,,,,1,0,200,-1,0,6,-1,0,22,-1,0,7,,,,,,,,,,0,,0
124476,17/06/2013 19:06,5,219,,,100,44849,4,3.5,0,1.61,0.0075,0,6,183,0,13927,1,7,4,1,1,0,,,0,,,,,,,,,,,,,0,0,,,,,,,,0,0,,0,,0
467151,07/05/2013 15:05,24,216,,,219,37788,4,4.5,1,4.72,0.4694,6.21,30,401.33,0,20319,3,159,5,1,2,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
439705,18/05/2013 07:05,5,219,,,219,131163,3,4.5,1,1.61,0.008,4.8,13,119,0,22918,1,0,2,2,1,1,,126.43,0,,,,0,0,,,,,,,,,,,,,,,,,0,0,,0,,0
336191,12/06/2013 09:25,14,100,,,219,90836,2,2.5,0,3.47,,0,22,69.68,1,15066,2,20,2,1,1,0,,406.07,0,,,,,,,,,,,,,0,0,,,,,,,,0,0,,0,,0
472404,03/01/2013 15:12,5,219,,,219,51616,3,4,1,2.08,0.0009,5.28,27,129,0,23904,2,7,1,0,1,1,,186.74,0,,,,0,0,,0,0,,,,,0,0,,,,,,,,0,0,,0,,0
450651,29/12/2012 10:44,5,204,,,18,103239,4,3.5,1,2.94,0.1504,4.65,9,63,0,7267,5,41,2,1,1,0,,,1,,,,0,0,,0,0,,,,,0,0,,,,,,,,,,,0,,0
301561,09/04/2013 14:52,5,219,,,219,108197,3,4,1,1.39,0.003,4.81,14,144,0,23904,1,25,3,2,1,1,,136.08,0,,,,0,0,,0,0,,,,,,,,,,,,,,0,0,,0,,0
599937,27/05/2013 09:21,14,219,,,100,3046,5,5,1,4.47,0.3934,5.92,14,396.48,0,12454,2,4,1,0,1,1,,1980.51,1,,,,0,0,8,,,,,,,0,0,,,,,,,,0,0,8,0,,0
442101,19/02/2013 15:44,5,219,,,219,128005,0,0,0,1.61,,0,19,750,0,2447,2,3,2,0,1,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
120152,03/05/2013 00:24,15,55,,,206,52508,4,4,1,0,0.0199,6.21,18,331.72,0,23151,2,26,2,0,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
550431,11/02/2013 11:49,5,219,,,219,6202,3,4,1,3.87,0.0237,4.62,27,87,1,1020,8,143,2,0,1,0,,994.88,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
403543,10/01/2013 16:47,5,219,,,219,30627,4,3.5,0,3.56,0.2515,5.63,2,225,0,24373,1,1,2,0,1,1,,84.53,0,,,,0,0,,0,0,,,,,0,0,20,,,,,,,0,0,20,0,,0
305522,27/11/2012 22:38,5,219,,,219,75490,2,4,0,0,0.0876,4.71,3,128,1,11471,1,11,1,0,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,0
193357,06/03/2013 08:27,14,100,,,219,58051,3,4.5,1,5.58,0.6841,5.61,16,257.75,0,21160,3,112,2,1,1,0,,334.26,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
508656,18/06/2013 13:56,5,219,,,219,11768,3,4.5,1,2.08,,0,17,99,0,2011,2,1,5,0,4,0,,935.49,0,,,,,,,0,0,,,,,0,0,,,,,,,,0,0,,0,,0
373158,18/01/2013 13:05,5,219,,,59,140023,3,4,0,3.26,0.7295,5.09,8,99,0,11976,7,54,2,0,1,0,,2262.87,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,0
534706,07/05/2013 18:36,5,219,,,219,57903,4,4.5,1,3.26,0.008,5.69,30,199,0,15307,1,3,2,0,1,1,,146.02,0,,,,0,0,,0,0,,,,,0,0,,,,,,,,0,0,,0,,0
332401,20/11/2012 06:48,5,219,,,219,52189,2,2,1,1.39,,4.09,13,50,0,27691,1,1,2,0,1,0,,298.66,0,,,,0,0,,,,,,,,,,,,,,,,,,,,0,,0
319871,28/05/2013 16:34,5,219,,,99,125608,4,3.5,0,6.12,0.1834,5.36,6,186,0,4458,3,38,2,0,1,1,,,0,1,0,7,,,,,,,,,,0,0,17,0,0,17,1,0,9,,,,0,,0
513623,31/12/2012 15:15,5,219,,,219,57001,4,4,1,2.08,0.2511,5.13,3,118,1,12736,3,18,2,0,1,1,,34.02,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
495266,17/01/2013 21:03,32,220,,,220,127066,5,4,1,4.57,0.2281,5.42,21,404.98,0,25981,3,57,3,0,1,1,,444.13,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
420919,19/02/2013 07:04,14,100,,,219,51421,3,4,1,2.89,0.018,5,7,169.11,0,4075,1,18,2,0,1,1,,1281.71,1,,,,,,,,,,,,,0,0,11,,,,,,,0,0,5,0,,0
258891,18/05/2013 23:04,17,98,,,98,135654,5,4.5,1,3,0.0283,5.42,7,184.19,0,6106,1,1,2,0,1,0,,,0,,,,0,0,,0,0,,,,,-1,0,19,,,,,,,,,,0,,0
451744,18/03/2013 18:19,14,100,,,219,9589,4,4.5,1,3.87,0.0171,5.7,24,231.85,1,18597,4,52,2,1,1,1,,2501.21,0,,,,0,0,,,,,,,,1,0,11,,,,,,,,,,0,,0
28482,24/05/2013 19:55,24,216,3,405.92,219,4571,3,4,1,2.83,0.2159,5.34,16,180.26,0,2360,1,20,1,0,1,1,,,0,,,,0,0,,,,,0,0,,0,0,,,,,,,,0,0,,0,,0
171345,22/01/2013 11:44,14,100,,,100,47202,2,3.5,1,4.33,0.0542,4.74,30,51.42,1,6948,2,3,2,0,1,1,,83.1,0,,,,0,0,,,,,,,,1,0,16,,,,,,,0,0,,0,,0
280977,28/12/2012 09:01,5,219,,,219,55905,2,3.5,1,0.69,,4.42,31,72,0,27942,1,0,1,0,1,1,,1.8,0,,,,1,0,5,0,0,,,,,,,,,,,,,,0,0,,0,,0
478143,02/05/2013 16:10,5,219,,,219,90836,2,2.5,0,3.47,0.1136,4.83,28,52,0,26067,1,3,1,1,1,0,,99.97,0,,,,,,,,,,,,,0,0,,,,,,,,0,0,,0,,0
69862,18/11/2012 17:26,32,220,,,220,47357,5,4,1,3.66,0.4742,5.75,1,204.71,1,5199,2,26,1,0,1,1,,,0,,,,0,0,,-1,0,5,0,0,,0,0,,,,,,,,,,,0,,0
584471,09/11/2012 06:52,5,219,,,219,76034,4,4,0,5.81,0.2043,5.79,18,348,1,5143,2,3,1,0,1,0,,295.62,0,,,,-1,0,24,1,0,21,,1,,0,0,25,,,,,,,0,0,21,0,,0
541429,17/02/2013 20:54,15,55,,,129,46035,4,4,1,4.09,0.0343,5.13,30,110.18,0,18433,2,13,1,0,1,1,,,0,,,,,,,,,,,,,0,0,,,,,-1,0,16,,,,0,,0
547711,14/01/2013 12:21,5,219,,,219,36298,2,4,0,2.3,,4.41,22,69,0,25768,1,11,2,0,1,1,,31.52,0,,,,0,0,,,,,,,,-1,0,7,,,,,,,-1,0,7,0,,0
183702,05/02/2013 10:19,15,55,,,55,33796,5,4.5,1,4.5,0.0793,5.26,6,172.25,1,18369,2,238,2,0,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
589849,25/11/2012 19:02,16,31,,,31,13785,4,4,0,3.64,0.0071,5.37,4,188.12,0,27966,2,36,1,0,1,0,,9.89,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
185459,24/11/2012 12:44,5,219,,,219,60846,4,4.5,1,4.13,0.2318,5.56,12,170,1,8192,7,34,2,2,1,0,,600.32,1,,,,-1,0,6,0,0,,,,,0,0,,,,,,,,0,0,,1,,0
445974,20/12/2012 16:19,14,100,,,100,37672,3,2,0,4.8,0.3873,5.17,27,312.85,0,27906,2,22,2,0,1,1,,65.05,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
116157,17/04/2013 08:10,32,220,,,132,4206,4,4,1,0.69,0.0093,4.87,21,154.45,0,4073,2,12,1,0,1,0,,10076.58,0,,1,,,,,,,,,,,,1,,,1,,,1,,,,,0,,0
227180,31/03/2013 22:34,5,219,,,132,57957,3,4.5,0,5.08,0.0171,5.11,4,119,0,1815,3,170,1,0,1,0,,5456.22,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,0
547613,06/03/2013 19:01,5,219,,,219,66893,3,4.5,1,2.4,0.0373,4.86,31,87,0,6443,3,30,2,0,1,1,,1016.53,0,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,0
524527,22/04/2013 19:08,5,219,,,219,140690,4,4.5,0,3.5,0.0067,5.82,18,316,0,9265,3,25,1,0,1,1,,377.37,0,,,,,,,0,0,,,,,0,0,,,,,,,,0,0,,0,,0
263348,16/11/2012 07:40,5,219,,,219,106764,4,4.5,1,4.91,0.2047,5.73,12,339,0,23090,1,0,3,0,1,1,,28.95,0,,,,1,0,7,0,0,,,,,,,,,,,,,,0,0,,0,,0
465972,10/06/2013 20:09,5,219,,,219,71999,2,3.5,0,1.61,0.0677,0,10,119,1,4948,2,40,2,0,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
404453,23/12/2012 16:23,14,100,,,100,12976,3,4.5,0,4.84,,5.02,30,112.77,1,6386,2,5,2,0,1,1,,342.01,1,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,0,,0
487649,10/03/2013 20:37,24,216,,,81,3259,5,4,0,0,0.0013,4.82,13,70.83,0,25614,3,34,2,0,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
216773,19/01/2013 16:00,32,220,,,219,11414,3,4,1,4.61,0.3422,5.65,6,161.87,1,20319,9,93,4,1,1,0,,5699.5,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
120342,19/11/2012 06:34,5,219,,,219,5325,2,3.5,1,1.95,0.0643,4.29,13,68,0,23753,1,12,2,0,1,1,,515.28,0,,,,0,0,,,,,,,,-1,0,4,,,,,,,-1,0,4,0,,0
440697,03/05/2013 17:26,5,219,,,219,84556,3,3.5,1,0.69,0.004,4.93,6,72,1,10948,2,1,2,0,1,1,,906.99,0,,,,0,0,25,0,0,,,,,,,,,,,,,,0,0,,0,,0
465793,04/04/2013 10:43,16,31,,,31,81286,0,0,0,5.08,,5.18,2,129.35,0,28197,2,5,2,0,1,0,,267.24,1,0,0,10,,,,,,,,,,0,0,10,,,,,,,,,,0,,0
399531,15/02/2013 22:26,5,219,,,219,25521,4,4,1,3.56,,5.58,15,239,0,25659,1,4,1,0,1,0,,18.06,0,,,,0,0,6,1,0,9,,,,0,0,6,,,,,,,0,0,,0,,0
481168,11/05/2013 09:06,31,219,,,219,94200,3,4.5,1,2.56,0.0219,4.78,10,118,0,19983,1,41,2,0,1,1,,987.07,0,,,,,,,0,0,,,,,0,0,,,,,,,,0,0,,0,,0
103865,04/05/2013 22:28,5,220,,,219,118465,2,2.5,0,3.18,0.0545,3.8,35,40,0,7772,3,24,2,0,1,0,,9728.33,0,,,,,,,,,,,,,-1,0,9,,,,,,,,,,0,,0
